Name,State_fips,Income2008,Income2009,Income2010,Income2011,Income2012,Income2013,Income2014,Income2015,IncomeRank,Food2008,Food2009,Food2010,Food2011,Food2012,Food2013,Food2014,Food2015,FoodRank,Health2008,Health2009,Health2010,Health2011,Health2012,Health2013,Health2014,Health2015,HealthRank,Transportation2008,Transportation2009,Transportation2010,Transportation2011,Transportation2012,Transportation2013,Transportation2014,Transportation2015,TransportationRank,Housing2008,Housing2009,Housing2010,Housing2011,Housing2012,Housing2013,Housing2014,Housing2015,HousingRank
Alabama,1,59370.62938,62497.42347,62043.54461,62082.12615,63807.50779,64457.11847,67373.02009,69868.6595,45,5946.89,6006.49,6201.24,6208.43,5971.65137,6449.323942,6525.036547,6639.31,49,2723.55,2870.84,2889.18,3041.01,3068.257874,3215.417267,3429.714721,3512.87,46,8345.18,8272.83,8193.37,7158.69,7230.149863,8261.619538,8937.072295,9052.22,49,15858,13048.7,13321.3,13263.8,12864.75723,17082.73542,16960.24407,17367.69,49
Alaska,2,76856.3177,84474.61225,85388.92412,85481.71308,91068.84892,93474.54496,94742.88041,97563.56558,7,6830.71,6987.46,7161.35,7307.51,6912.578542,7655.897538,7711.709363,7689.51,3,2952.85,3075.19,3110.3,3356.58,3420.651395,3657.205931,3899.928404,4000.19,9,9824.29,9686.21,9443.62,8656.74,8503.757143,10011.3111,10576.19644,10755.91,2,18503,15377,15361.2,15518.6,14678.50336,20047.92393,19626.7185,20342.54,4
Arizona,4,67656.41036,69456.91962,73189.18752,73194.51098,74367.83828,74766.64037,75753.48762,78273.11265,27,6485.8,6535.15,6792.31,6886.09,6497.650497,7111.147362,7146.049881,7154.72,27,3022.27,3146.22,3196.52,3362.72,3396.689566,3585.869843,3803.299291,3910.19,23,9246.52,9040.36,8956.61,8060.93,7952.017602,9204.685994,9728.977036,9917.77,26,17419.5,14201,14504.9,14578.8,13839.21925,18557.14976,18115.80407,18761.19,25
Arkansas,5,54519.12779,57062.735,58070.31519,58084.65113,59033.97535,59953.90339,62644.21299,65143.64361,49,5994.24,6030.73,6251.86,6304.13,6015.138067,6539.890138,6630.775947,6705.49,47,2857.7,2993.09,3018.69,3167.12,3197.148446,3344.904656,3564.371338,3659.23,43,8366.03,8294.94,8212.87,7235.44,7281.060264,8359.406211,9000.345912,9162.09,46,15767.6,12924.8,13245.8,13289.4,12831.9251,17079.11723,16909.85879,17434.54,48
California,6,79469.34069,82489.6805,85007.23376,85391.63132,90147.85798,92352.25472,94738.07651,97240.60311,9,6713.49,6758.61,7015.33,7219.15,6861.870698,7581.278789,7617.61414,7642.72,6,2864.37,2958.95,3007.3,3224.43,3257.175254,3514.902131,3760.490633,3856.85,27,9577.76,9360.95,9201.7,8448.63,8287.948274,9801.367507,10299.34389,10391.62,11,18457.2,15102.2,15285.4,15462.2,14624.30956,19925.96663,19609.2979,20276.18,6
Colorado,8,77479.16485,79036.59039,79839.13672,79863.42734,82148.30644,83784.43606,86432.78143,89341.09817,14,6726.79,6768.29,6998.17,7087.54,6667.247837,7332.263597,7435.226109,7433.23,12,2994.8,3100.23,3143.38,3351.73,3391.479501,3608.004023,3851.506719,3966.74,15,9702.03,9385.23,9251.43,8365.81,8197.553785,9561.747389,10198.50951,10415.52,9,18284.3,14845.3,15035,15089.8,14224.69858,19241.76191,18960.37753,19674.21,12
Connecticut,9,92775.63671,95012.39479,95918.92142,96004.28689,100852.5999,101974.9392,105762.2606,108918.6761,4,6802.74,6875.26,7162.58,7297.65,6830.771764,7541.415808,7640.471417,7656.76,4,3048.76,3160.82,3209.53,3422.57,3448.779464,3685.665494,3933.069593,4032.49,6,9896.69,9489.84,9456.9,8678.52,8427.308935,9855.137347,10529.82565,10754.4,3,18770.5,15252.9,15551.5,15673,14614.84612,19982.46969,19782.40691,20478.8,3
Delaware,10,75567.96528,79140.25128,79596.18843,79626.65222,80487.86552,83427.68474,86724.08323,89591.96409,12,6434.27,6521.79,6701.98,6754.38,6438.687388,7060.913601,7091.751852,7182.75,21,2856.46,2992.47,3015.02,3208.43,3241.618814,3459.517964,3671.828929,3759.3,39,9238.21,9040.67,8914.92,7963.32,7892.4179,9191.066667,9831.323919,9977.25,20,17566.6,14427.4,14565.5,14557.3,13901.14444,18803.51635,18536.67435,19058.39,19
District of Columbia,11,81381.18583,96356.9859,89033.57281,89385.7239,99686.75225,103410.8,108216.5031,110614.8939,1,5438.29,5653.61,5778.66,6008.96,5854.886659,6397.006315,6469.515209,6721.61,46,2053.94,2211.71,2216.35,2501.64,2447.562539,2722.774061,2922.648363,2992.82,51,7642.98,7634.93,7626.63,7094.26,7002.786856,8249.139267,9043.248278,9080.01,48,15396.3,13029.4,13142.4,13634.3,12978.33569,17932.14019,18137.37078,18367.97,34
Florida,12,67369.82558,70714.47544,70413.78325,70438.02081,71904.48178,71788.67732,73925.97194,76473.9456,31,6257.29,6328.48,6554.57,6591.61,6258.436934,6801.081868,6857.508427,6919.21,39,2952.68,3090.38,3122.05,3277.52,3299.251167,3462.788546,3683.542855,3774.89,36,8884.88,8732.19,8658.86,7696.7,7634.740922,8762.208143,9367.126266,9526.29,39,16848.6,13811.9,14085.4,14036.6,13408.8049,17891.62276,17614.46249,18146.24,40
